ticker,metric
WSFL,1.358038357
IVTY,0.981827457
TSRO,0.783247703
ARBU,0.760887739
FTLF,0.592258845
TNTRQ,0.525515763
PVAC,0.454776458
MERR,0.425009258
ZOES,0.419360119
EXCC,0.393451045
CYH,0.37338918
NTN,0.343944041
GCFB,0.340533162
CVRS,0.333104632
PBSV,0.295651613
ARII,0.291723744
RBNW,0.280087697
EVHC,0.276467262
REIS,0.273508024
IDT,0.265138914
WEB,0.259382999
PARF,0.255378699
ENG,0.252561618
RARX,0.252124823
VEND,0.245069305
UEIC,0.244376929
PKD,0.241141759
SHOS,0.238934691
SKY,0.230902353
PCTI,0.230536248
BV,0.227864255
MDXG,0.214715337
NPTN,0.209341096
SMSI,0.203226332
KERX,0.202781116
WBA,0.195817182
DUOT,0.194753931
SEND,0.190260322
PCG,0.1899576
GNC,0.179921873
GSB,0.177898597
AGEN,0.176949797
FLUX,0.17477466
CRIS,0.174654869
LOCO,0.174357969
CVOVQ,0.168714928
BWEN,0.168524482
KAR,0.160599318
CBM,0.158492868
PLAB,0.158020275
BOJA,0.155832321
AVGR,0.153058409
CLCT,0.151603868
PSIX,0.150391587
AMD,0.149719144
GKOS,0.148791272
CYTK,0.144751994
PPC,0.143764142
ELON,0.14147431
ENT,0.139556569
PI,0.138387206
PRGO,0.131493773
MDC,0.131289617
OPK,0.130423425
ACHN,0.1293691
PRSS,0.128991375
PRAA,0.128424381
TTWO,0.127158228
FNCB,0.126808153
HALL,0.126421075
FBM,0.123028704
EEI,0.121930252
AVP,0.121868726
PRO,0.121541507
GMS,0.120977075
GOGO,0.11893848
TTPH,0.118767069
SCON,0.118190924
TRHC,0.117216369
GNTX,0.11623671
CUTR,0.114293298
IEC,0.112933651
RELV,0.107054091
HDSN,0.105680713
RGEN,0.105097603
VCYT,0.102440654
CAG,0.102228518
LSCC,0.100575818
HHS,0.099498288
OSIS,0.099086073
SENEA,0.097695629
MNTA,0.097269623
TRTC,0.097238338
FRO,0.097144549
APRN,0.096515165
RRTS,0.09647486
MCRB,0.095716622
SMED,0.094121268
INT,0.093597875
WCUI,0.09309023
MRK,0.091539208
RNET,0.091324281
ANIK,0.091090165
WMS,0.090404839
PMTS,0.090210086
CECE,0.089966978
QCCO,0.089494587
CMD,0.088814894
POL,0.088614716
BKE,0.088097404
FLGT,0.087208469
ALEX,0.086655168
CRS,0.086154154
ERI,0.086070433
BIOC,0.08581178
ADMA,0.085599228
GBX,0.085312495
RDN,0.085251689
KEG,0.085165331
NAUH,0.08504565
NSA,0.084994312
DBD,0.08438419
SWCH,0.084198133
ERII,0.083673937
FEYE,0.083044295
GE,0.082016098
GSAT,0.081963288
OPY,0.081575437
TNAV,0.080614046
ORN,0.080327337
WDFC,0.080290424
XTNT,0.080008717
HSY,0.079284116
ABCD,0.078640889
VSI,0.077617005
PODD,0.077585225
WMT,0.076108584
QTWO,0.075874528
EIX,0.075850049
LXRX,0.075673357
OCC,0.075613728
TSQ,0.075564201
DXCM,0.075290999
AIZ,0.074965504
PHH,0.074540374
VSLR,0.074492903
CNND,0.074299455
BLL,0.073722922
SPAR,0.073374547
AKCA,0.073356663
GNMK,0.073131328
EPZM,0.072692993
SNAP,0.072644561
AET,0.072229714
VTR,0.071115489
ACHC,0.070845072
VEC,0.070687674
EVTC,0.070432958
OMF,0.070393769
HURN,0.069748662
ATUS,0.069589642
QCOM,0.069388194
RHI,0.068998158
SREV,0.06857956
MORN,0.067880013
GPN,0.06773475
CABO,0.06742619
SP,0.067280133
HCP,0.067152233
ICPT,0.065205826
OPTI,0.06474908
CLI,0.064326267
PINC,0.064261599
SHAK,0.063668671
MPX,0.063544149
GEL,0.062678453
LAUR,0.062542533
UVV,0.062282815
JMBA,0.06208118
CLDX,0.061888843
RUBI,0.061824549
KNX,0.061644199
WTR,0.060957838
PETQ,0.06082214
PG,0.060689397
CATO,0.060363167
PCRX,0.060284929
MATR,0.059721294
AIN,0.059405316
BID,0.059142881
OMN,0.058997202
CHEF,0.058654879
TSLA,0.058619316
CPB,0.058547547
UMH,0.058495376
RARE,0.058433105
SYKE,0.058417676
SYNC,0.058089609
HMSY,0.05784944
PESI,0.057825096
EFX,0.057643117
CB,0.057462694
SVU,0.057418011
EYE,0.057240426
BBOX,0.057152993
DISH,0.057079919
USPH,0.056850424
MMP,0.056278207
KVIL,0.056249758
CELG,0.056088648
OPOF,0.056086094
FC,0.054860395
AGN,0.054680207
CLH,0.054563587
RST,0.054025712
NSTG,0.05394918
IPHI,0.053723231
NUVA,0.053444266
FRED,0.053403527
ACIA,0.053257791
TPC,0.05322925
TRUE,0.053160333
JNCE,0.05298954
KHC,0.052960346
AMSF,0.05279093
LIND,0.052704919
ATNX,0.052061939
BKH,0.051952774
SUI,0.051833481
ACAD,0.051376648
OMC,0.05058659
PARR,0.050564246
PCH,0.050389007
KTOS,0.050257371
HBB,0.050200597
INOV,0.05005183
CMG,0.049577493
SPTN,0.049481918
EYES,0.049467361
FRC,0.049455775
NCSM,0.049267991
RMBS,0.048855667
NDLS,0.048545055
BRO,0.048514156
EMCI,0.048289882
HAS,0.048022081
MNRO,0.048012685
CATM,0.047922067
GLDD,0.04755982
SGEN,0.047475196
CTLT,0.047257596
ACBI,0.04684041
NWPX,0.046769739
ISIG,0.046734364
UDR,0.046693182
MDT,0.046518779
MLHR,0.046475716
KMX,0.046278842
CSPI,0.046056491
AON,0.04594929
TPH,0.045948884
DNB,0.045804531
ITRI,0.045758464
LUNA,0.04567534
EXEL,0.045600813
